GenusSpecies,NestLoc,Excavate,Sociality,Lecty,MeanITD,SDITD,ITDCV,Specimen1,Specimen2,Specimen3,Specimen4,Specimen5,Neal,InKremen,PredForDist_Typical,CILow_Typical,CIHigh_Typical,PredForDist_Feeder,CILow_Feeder,CIHigh_Feeder,PredForDist_HomingMax,CILow_HomingMax,CIHigh_HomingMax,abun.net,abun.pan,num.occ.net,num.occ.pan,d,GenusSpecies
Andrena sola,below,ex,solitary,polylectic,2.328,0.110995495,0.047678477,2.42,2.24,2.42,2.18,2.38,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Andrena sola
Andrena sp. 1,below,ex,solitary,NA,1.442622951,NA,NA,1.442622951,NA,NA,NA,NA,yes,no,0.323995225,0.149139278,0.703858212,0.67578555,0.372431923,1.226227079,0.437231905,0.215122386,0.870950727,0,0,0,0,NA,Andrena sp. 1
Andrena sp. 4M,below,ex,solitary,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Andrena sp. 4M
Andrena suavis,below,ex,solitary,oligolectic,1.508196721,NA,NA,1.508196721,NA,NA,NA,NA,yes,no,0.344921236,0.155082038,0.767146605,0.706645139,0.380851538,1.311133876,0.466587179,0.2242738,0.949080237,0,0,0,0,NA,Andrena suavis
Andrena subaustralis,below,ex,solitary,oligolectic,2.109944665,0.093111508,0.044129834,2.163934426,2.1204819,1.959184,2.102041,2.204082,yes,no,0.553378422,0.208320949,1.469980232,0.990088422,0.450907029,2.258332085,0.762232545,0.307210211,1.815945453,1,0,1,0,0.52490755,Andrena subaustralis
Andrena subchalybea,below,ex,solitary,oligolectic,1.56097561,0.119487305,0.076546555,1.609756098,1.707317073,1.609756098,1.463414634,1.414634146,yes,yes,0.362036665,0.15984251,0.81999805,0.731487768,0.387496952,1.446351175,0.490647825,0.23162139,1.014314203,3,17,2,14,0.372379001,Andrena subchalybea
Andrena subtilis,below,ex,solitary,polylectic,2.204878049,0.139686059,0.06335319,2.048780488,2.390243902,2.195121951,2.097560976,2.292682927,yes,no,0.588753781,0.216537914,1.600786705,1.034841753,0.46099842,2.079788382,0.812883461,0.320146655,1.977159766,0,0,0,0,NA,Andrena subtilis
Andrena w-scripta,below,ex,solitary,polylectic,1.736585366,0.184465077,0.106222867,1.707317073,1.853658537,1.951219512,1.707317073,1.463414634,yes,yes,0.420670621,0.17554585,1.008077217,0.81417265,0.408839805,1.580380416,0.573393648,0.25595958,1.246385558,1,3,1,3,0.723140138,Andrena w-scripta
Anthidiellum ehrhorni,above,rent,solitary,polylectic,2.390243903,0.068986027,0.028861501,2.43902439,2.341463415,NA,NA,NA,yes,no,0.659620687,0.232460968,1.87170971,1.122251407,0.480098537,2.70436081,0.914696017,0.3453069,2.310971212,0,0,0,0,NA,Anthidiellum ehrhorni
Anthidiellum notatum robertsoni,above,rent,solitary,polylectic,2.183739771,0.113762942,0.052095466,2.243902439,2.195121951,2.097560976,2.048780488,2.333333,yes,yes,0.580822117,0.214712058,1.571194159,1.024876015,0.458770416,2.385197118,0.801516416,0.317269251,1.940690684,50,0,15,0,0.392280003,Anthidiellum notatum robertsoni
