GenusSpecies,NestLoc,Excavate,Sociality,Lecty,MeanITD,SDITD,ITDCV,Specimen1,Specimen2,Specimen3,Specimen4,Specimen5,Neal,InKremen,PredForDist_Typical,CILow_Typical,CIHigh_Typical,PredForDist_Feeder,CILow_Feeder,CIHigh_Feeder,PredForDist_HomingMax,CILow_HomingMax,CIHigh_HomingMax,abun.net,abun.pan,num.occ.net,num.occ.pan,d,GenusSpecies
Osmia gaudiosa,above,rent,solitary,oligolectic,1.690454133,0.003210472,0.001899177,1.686747,1.6923077,1.6923077,NA,NA,no,yes,0.40502236,0.171440136,0.956853604,0.792448187,0.403341342,1.551790172,0.551264481,0.24958177,1.183191079,9,16,6,9,0.475150096,Osmia gaudiosa
Osmia glauca,above,rent,solitary,oligolectic,1.609756098,0.261176885,0.162246246,1.463414634,1.512195122,1.463414634,NA,2,yes,yes,0.37806701,0.164225039,0.87035853,0.754451761,0.39354029,1.252941668,0.513222618,0.238398473,1.076464813,0,2,0,2,NA,Osmia glauca
Osmia granulosa,NA,rent,solitary,NA,2.058536585,0.105753578,0.051373183,2.097560976,1.951219512,1.951219512,2.097560976,2.195121951,yes,yes,0.534489576,0.203852739,1.401399403,0.96585749,0.445348057,2.15481789,0.735237439,0.300189732,1.731409341,6,11,6,10,0.334832436,Osmia granulosa
Osmia laeta,above,rent,solitary,polylectic,1.951219512,0.2906433,0.148954691,1.951219512,2,2.195121951,2.146341463,1.463414634,yes,yes,0.49567861,0.194481081,1.263348001,0.915283047,0.433516465,1.932436534,0.679886392,0.285498252,1.561211745,10,1,7,1,0.532734327,Osmia laeta
Osmia lignaria propinqua,above,rent,solitary,polylectic,2.84000008,0.237346421,0.083572681,2.766667,2.6666667,3,3.1666667,2.6,yes,yes,0.840850077,0.270499872,2.613786278,1.334458176,0.523584238,3.269726998,1.176883183,0.405863251,3.224786246,9,0,5,0,0.483272996,Osmia lignaria propinqua
Osmia montana,above,rent,solitary,NA,2.487804878,0.182519872,0.073365831,2.487804878,2.536585366,2.682926829,NA,2.243902439,yes,no,0.697841341,0.240780926,2.022512934,1.168268966,0.48985556,2.786234327,0.96978364,0.358499364,2.496731813,0,0,0,0,NA,Osmia montana
Osmia montana quadriceps,above,rent,solitary,oligolectic,2.216,0.129151074,0.058281171,2.3,2,2.2,2.26,2.32,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Osmia montana quadriceps
Osmia nemoris,mix,rent,solitary,polylectic,2.214634146,0.160309041,0.072386241,2.195121951,2.097560976,2.097560976,2.195121951,2.487804878,yes,yes,0.592425032,0.217379899,1.614534829,1.039441456,0.462023144,2.307532121,0.818146801,0.321474099,1.99410208,4,463,4,130,0.456772644,Osmia nemoris
Osmia nigrifrons,above,rent,solitary,oligolectic,2.487804878,0.226185817,0.090917828,2.87804878,2.292682927,2.390243902,2.43902439,2.43902439,yes,no,0.697841341,0.240780926,2.022512934,1.168268966,0.48985556,3.469992338,0.96978364,0.358499364,2.496731813,0,0,0,0,NA,Osmia nigrifrons
Osmia pusilla,above,rent,solitary,polylectic,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,3,NA,Osmia pusilla
Osmia regulina,above,rent,solitary,polylectic,1.975668525,0.054538402,0.027605037,2,1.951219512,2.048780488,1.902439024,1.9759036,yes,yes,0.504445764,0.196621504,1.294189721,0.926803852,0.43623984,2.005657676,0.692375803,0.288849637,1.599238631,18,21,11,19,0.481238021,Osmia regulina
Osmia sp. FA,NA,rent,solitary,NA,1.707317073,NA,NA,1.707317073,NA,NA,NA,NA,yes,no,0.410722523,0.172942503,0.975428183,0.8003891,0.405359814,1.580380416,0.559321711,0.251914385,1.206107359,0,0,0,0,NA,Osmia sp. FA
Osmia sp. FC,NA,rent,solitary,NA,2.195121951,NA,NA,2.195121951,NA,NA,NA,NA,yes,no,0.585089151,0.215695479,1.58709546,1.030242142,0.459971439,2.307532121,0.807630865,0.318818843,1.960287222,0,0,0,0,NA,Osmia sp. FC
Osmia sp. FE,NA,rent,solitary,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Osmia sp. FE
Osmia texana,above,rent,solitary,oligolectic,2.80048204,0.263067624,0.093936551,2.666667,2.566667,2.6024096,3.0333333,3.1333333,yes,yes,0.8244232,0.267188513,2.54379803,1.315806055,0.519907469,3.093365794,1.153021142,0.400568042,3.138628508,6,2,2,2,0.492630668,Osmia texana
Osmia trevoris,below,ex,solitary,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,1,5,0.628337041,Osmia trevoris
Panurginus nigrellus,below,ex,solitary,polylectic,1.317073171,0.057200192,0.043429775,1.390243902,1.268292683,1.268292683,1.292682927,1.365853659,yes,no,0.285011801,0.137668101,0.590054819,0.616718688,0.355762562,1.15979073,0.382742413,0.197526638,0.730419735,0,1,0,1,NA,Panurginus nigrellus
Peponapis pruinosa,below,ex,solitary,oligolectic,3.131707317,0.105753577,0.033768666,3.170731707,2.975609756,3.219512195,3.073170732,3.219512195,yes,yes,0.964951482,0.294776181,3.158774086,1.472176384,0.549973376,4.01493489,1.357709934,0.444811696,3.895516176,16,262,5,100,0.64133196,Peponapis pruinosa
Perdita heliotropii,below,ex,solitary,NA,0.868292683,0.061219026,0.070505058,0.780487805,0.853658537,0.926829268,0.926829268,0.853658537,yes,no,0.158524778,0.095451241,0.263276884,0.405812027,0.288510266,0.486132387,0.208159687,0.133673039,0.326496624,0,0,0,0,NA,Perdita heliotropii
Perdita heliotropii perducta,below,ex,solitary,NA,0.824,0.130690474,0.158604944,0.86,0.6,0.88,0.84,0.94,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Perdita heliotropii perducta
Perdita salicis tristis,below,ex,solitary,oligolectic,0.764,0.057271284,0.074962414,0.84,0.8,0.76,0.7,0.72,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,Perdita salicis tristis
Protosmia rubifloris,above,rent,solitary,polylectic,1.468852459,0.107248703,0.0730153,1.409836066,1.573770492,1.31147541,1.540983607,1.508196721,yes,yes,0.332320054,0.151520224,0.72885728,0.68812864,0.375822142,1.184495282,0.448901647,0.218786021,0.901813879,0,22,0,12,NA,Protosmia rubifloris
Sphecodes sp. 1,below,rent,solitary,parasite,0.895,0.095851448,0.107096589,1.05,0.925,0.825,0.825,0.85,no,yes,0.165432881,0.098027211,0.279188175,0.418351488,0.292939573,0.759940217,0.217585443,0.137522754,0.346183086,0,12,0,10,NA,Sphecodes sp. 1
Sphecodes sp. B,below,rent,solitary,parasite,0.98,0.037080992,0.037837747,0.975,1,0.925,1.025,0.975,no,yes,0.187975233,0.106165251,0.332827247,0.45827122,0.30661567,0.679680807,0.248445188,0.149728125,0.412530984,3,41,3,39,0.007880114,Sphecodes sp. B
Sphecodes sp. D,NA,rent,solitary,parasite,0.9375,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,Sphecodes sp. D
Stelis laticincta,NA,rent,solitary,parasite,2.292682927,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,6,0,0.144094301,Stelis laticincta
Stelis montana,above,rent,solitary,parasite,2.292682927,NA,NA,2.292682927,NA,NA,NA,NA,yes,no,0.622031365,0.224099809,1.726565588,1.076242346,0.47014146,2.463721425,0.86063731,0.332080571,2.132149842,1,0,1,0,0.633930548,Stelis montana
Svastra obliqua expurgata,below,ex,solitary,oligolectic,3.336817663,0.333820606,0.100041609,3.56097561,3.512195122,3.658536585,3,2.952381,yes,yes,1.055108797,0.311680994,3.57177561,1.569046353,0.567802863,4.781915932,1.489643923,0.472060314,4.403631393,39,47,27,36,0.204616157,Svastra obliqua expurgata
Tetraloniella pomonae,below,ex,solitary,oligolectic,2.432,0.125379424,0.05155404,2.3,2.5,2.6,2.44,2.32,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,Tetraloniella pomonae
Triepeolus concavus,below,rent,solitary,parasite,2.7125,0.16298006,0.060084815,2.59375,2.625,2.96875,2.59375,2.78125,no,yes,0.788190647,0.259795724,2.391280678,1.27428371,0.51162782,2.966855683,1.10045372,0.388761946,2.950856224,4,0,4,0,0.102858041,Triepeolus concavus
Triepeolus heterurus,NA,rent,solitary,parasite,1.653012,0.052792581,0.031937204,1.686747,1.686747,1.638554,1.686747,1.566265,no,yes,0.392448803,0.168097794,0.916228939,0.774817627,0.398823473,1.551790172,0.533507067,0.244397232,1.133067128,46,41,21,25,0.25980996,Triepeolus heterurus
Triepeolus melanarius,NA,rent,solitary,parasite,1.78213272,0.172686757,0.096898932,1.6666667,2,1.6666667,1.6385542,1.938776,no,yes,0.436288142,0.179586669,1.059919112,0.83562471,0.414197888,1.524050348,0.595510766,0.262246236,1.310335479,13,7,6,7,0.224434179,Triepeolus melanarius
Triepeolus nr. lestes,below,rent,solitary,parasite,2.15,0.201798554,0.093859792,2.0625,2,2.28125,2.4375,1.96875,no,yes,0.568226875,0.211793284,1.524513787,1.008970151,0.455191867,2.10080004,0.78347812,0.312672862,1.883159868,0,0,0,0,NA,Triepeolus nr. lestes
Triepeolus sp. 1,below,rent,solitary,parasite,1.9067767,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,Triepeolus sp. 1
Triepeolus sp. A,below,rent,solitary,parasite,1.666666667,0.130104125,0.078062475,1.8125,1.5625,1.625,NA,NA,no,yes,0.3970209,0.169317754,0.930945468,0.781247059,0.400476918,1.729285222,0.539961678,0.246288812,1.151225395,1,2,1,1,0.311803508,Triepeolus sp. A
Triepeolus sp. D,below,rent,solitary,parasite,1.21875,NA,NA,1.21875,NA,NA,NA,NA,no,yes,0.255517399,0.128592243,0.507722238,0.57047869,0.342148351,0.951183702,0.341703677,0.183673376,0.628713317,0,1,0,1,NA,Triepeolus sp. D
Triepeolus subnitens,NA,rent,solitary,parasite,2.4283334,0.132333347,0.054495543,2.533333,2.466667,2.266667,2.3125,2.5625,no,yes,0.674468404,0.235714023,1.929913296,1.140216468,0.483930986,2.863385965,0.936081983,0.350461417,2.382670683,18,5,10,4,0.296373662,Triepeolus subnitens
Triepeolus timberlakei,below,rent,solitary,parasite,1.642818815,0.070368836,0.042834204,1.707317073,1.686747,1.566265,1.566265,1.6875,yes,yes,0.389045764,0.167186301,0.905317036,0.770018223,0.397584748,1.580380416,0.528704726,0.242984531,1.119602848,6,0,6,0,0.106401041,Triepeolus timberlakei
Triepeolus utahensis,NA,rent,solitary,parasite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,5,0,0.110252665,Triepeolus utahensis
Xeromelecta californica,below,rent,solitary,parasite,2.554336154,0.353432028,0.138365511,2.146341463,2.766667,2.75,NA,NA,yes,yes,0.724260199,0.24643199,2.128590674,1.199655138,0.4964006,2.230735812,1.007929189,0.367477213,2.627380454,2,0,2,0,0.194783258,Xeromelecta californica
Xylocopa tabaniformis orpifex,above,ex,solitary,polylectic,5.84,0.415932687,0.07122135,5.4,6.3,6,6.1,5.4,yes,yes,2.320332398,0.509777768,10.56135198,2.753059711,0.752394928,8.952578211,3.376182534,0.797653429,12.98944585,28,1,13,1,0.536656853,Xylocopa tabaniformis orpifex
Xylocopa varipuncta,above,ex,solitary,polylectic,6.945,1.058913063,0.152471283,5.6,6.6,6.65,7.4375,8.4375,no,yes,2.961516401,0.593655932,14.77384275,3.27653976,0.820908575,9.456629951,4.349534352,0.938313387,18.15673403,13,0,5,0,0.514446096,Xylocopa varipuncta
