OBJECTID,unitID,descriptn,instCode,codeRef,unitOwner,cSteward,effDate,instName,Shape_Leng,Shape__Area,Shape__Length
84,DLCD,Comp Plan- See DLCD File,16082,GNIS,16082,DLCD,19800000,Hood River,68068.1528859,118621235.155884,68068.1528858564
85,DLCD,Comp Plan- See DLCD File,31959,GNIS,31959,DLCD,20100000,Hubbard,29202.1080533,25675147.1417236,29202.1080532521
86,DLCD,Comp Plan- See DLCD File,545,GNIS,545,DLCD,19800000,Huntington,18328.7497661,20622372.7056885,18328.7497661199
87,DLCD,Comp Plan- See DLCD File,31961,GNIS,31961,DLCD,19920000,Idanha,39977.5758246,21480085.7902222,39977.5758246382
88,DLCD,Comp Plan- See DLCD File,36849,GNIS,36849,DLCD,20060000,Imbler,15938.949187,6624302.79638672,15938.9491869972
89,DLCD,Comp Plan- See DLCD File,34180,GNIS,34180,DLCD,20090000,Independence,47575.5413717,99136221.3729858,47575.5413716594
90,DLCD,Comp Plan- See DLCD File,32719,GNIS,32719,DLCD,20170000,Ione,30283.2544711,30638654.4022217,30283.254471082
91,DLCD,Comp Plan- See DLCD File,32720,GNIS,32720,DLCD,20050000,Irrigon,43007.9181014,46702519.7189941,43007.9181014019
92,DLCD,Comp Plan- See DLCD File,36851,GNIS,36851,DLCD,20050000,Island City,30680.8312597,39458713.244873,30680.831259659
93,DLCD,Comp Plan- See DLCD File,16918,GNIS,16918,DLCD,19800000,Jacksonville,45112.9575436,53192699.6858444,45112.9575436455
94,DLCD,Comp Plan- See DLCD File,31962,GNIS,31962,DLCD,20110000,Jefferson,37866.924688,31651990.229248,37866.9246880208
95,DLCD,Comp Plan- See DLCD File,11824,GNIS,11824,DLCD,19800000,John Day,75167.195995,147742492.86853,75167.1959949828
96,DLCD,Comp Plan- See DLCD File,29508,GNIS,29508,DLCD,19800000,Jordan Valley,31827.3255358,57991486.1173706,31827.3255358128
97,DLCD,Comp Plan- See DLCD File,37927,GNIS,37927,DLCD,19800000,Joseph,40038.625301,29886959.4338379,40038.6253009757
98,DLCD,Comp Plan- See DLCD File,24880,GNIS,24880,DLCD,20120000,Junction City,99547.730293,118504984.375549,99547.7302930347
99,DLCD,Comp Plan- See DLCD File,20945,GNIS,20945,DLCD,20030000,Klamath Falls,279661.609739,1037817089.85066,279661.609738801
100,DLCD,Comp Plan- See DLCD File,1144724,GNIS,1144724,DLCD,20100000,La Pine,78693.9666205,195099295.522095,78693.9666204894
101,DLCD,Comp Plan- See DLCD File,41494,GNIS,41494,DLCD,20170000,Lafayette,29189.9798991,27030307.0720825,29189.9798991413
102,DLCD,Comp Plan- See DLCD File,5253,GNIS,5253,DLCD,19910000,Lakeside,50639.2281195,63157397.3582001,50639.2281195003
103,DLCD,Comp Plan- See DLCD File,22772,GNIS,22772,DLCD,20160000,Lakeview,82469.7952748,163354975.025894,82469.7952748225
104,DLCD,Comp Plan- See DLCD File,28187,GNIS,28187,DLCD,19800000,Lebanon,102084.12307,285906591.061829,102084.123069936
105,DLCD,Comp Plan- See DLCD File,32721,GNIS,32721,DLCD,19800000,Lexington,17893.0686089,15064056.0396729,17893.0686088562
106,DLCD,Comp Plan- See DLCD File,27111,GNIS,27111,DLCD,19800000,Lincoln City,120788.328479,243752015.77182,120788.328479383
107,DLCD,Comp Plan- See DLCD File,11018,GNIS,11018,DLCD,19800000,Lone Rock,21297.4935359,28348863.6939697,21297.4935358932
108,DLCD,Comp Plan- See DLCD File,11827,GNIS,11827,DLCD,19800000,Long Creek,20793.5517088,27000610.458374,20793.5517088428
109,DLCD,Comp Plan- See DLCD File,37837,GNIS,37837,DLCD,19800000,Lostine,24134.0626961,16723525.9018555,24134.0626961166
110,DLCD,Comp Plan- See DLCD File,24894,GNIS,24894,DLCD,19800000,Lowell,26681.1983639,32957400.4651489,26681.1983639441
111,DLCD,Comp Plan- See DLCD File,31975,GNIS,31975,DLCD,20230000,Lyons,45455.9875659,42495677.5439453,45455.9875659206
112,DLCD,Comp Plan- See DLCD File,18403,GNIS,18403,DLCD,20200000,Madras,128893.037363,245640324.267334,128893.037362989
113,DLCD,Comp Plan- See DLCD File,20951,GNIS,20951,DLCD,19800000,Malin,22209.0989075,17818090.8252487,22209.0989075009
114,DLCD,Comp Plan- See DLCD File,35027,GNIS,35027,DLCD,19800000,Manzanita,31617.6198629,32654881.1519775,31617.6198629465
115,DLCD,Comp Plan- See DLCD File,39279,GNIS,39279,DLCD,19800000,Maupin,35521.7268605,48214891.6494141,35521.7268605495
116,DLCD,Comp Plan- See DLCD File,16924,GNIS,16924,DLCD,20180000,Medford,251717.23948,965099551.095627,251717.239479517
117,DLCD,Comp Plan- See DLCD File,20955,GNIS,20955,DLCD,19800000,Merrill,22486.1644346,19337316.5721893,22486.1644345907
118,DLCD,Comp Plan- See DLCD File,18405,GNIS,18405,DLCD,19800000,Metolius,22210.875064,16552217.3092041,22210.8750640393
